city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Columbus,OH,59,6.7,6.3,7.5,59,6.7,39,30,Columbus-OH,Ohio,87588,42.11,1164,86664,41.67,871273,787033,483677,220241,2105,31965,512,44359,22447,26086,384265,402768,60029,50211,45045,53667,84169,148994,105367,98439,73512,36696,21722,9182,31.4,331602,2.31,176037,3.04,370965,39363,155839,175763,84240
Orlando,FL,60,6.7,7.0,5.2,25,6.5,13,3,Orlando-FL,Florida,76936,36.99,1801,76936,36.99,283852,238300,137159,66876,902,8944,183,60483,16091,8145,115883,122417,16885,14420,13000,13715,20946,48976,35989,30609,21352,11668,7569,3171,33.0,102521,2.29,53854,3.03,121254,18733,40458,62063,45552
Harrisburg,PA,61,6.7,6.9,7.4,68,6.7,41,0,Harrisburg-PA,Pennsylvania,89722,43.14,1804,90231,43.38,50368,49528,15181,25957,251,1709,29,8939,3847,2554,23828,25700,4392,3532,3209,3597,3987,7783,6218,6802,5521,2545,1364,578,32.5,20605,2.36,10626,3.22,24269,3664,7994,12611,840
Salem,OR,62,6.6,6.7,6.0,95,6.4,27,0,Salem-OR,Oregon,101355,48.73,596,101355,48.73,165386,154637,122213,2283,2284,4215,1460,31359,15545,6637,77115,77522,11407,10778,10346,11334,11686,22746,20033,20164,17655,9334,6054,3100,34.6,57290,2.55,36261,3.15,61276,3986,31904,25386,10749
Syracuse,NY,63,6.6,7.1,7.7,35,6.7,25,2,Syracuse-NY,New York,102130,49.1,2735,102427,49.24,146839,145170,81319,42770,1606,8021,44,12036,3937,7473,69180,75990,10217,8998,8480,14207,19237,21545,15604,17494,14048,7150,5114,3076,29.7,57355,2.31,28455,3.14,64356,7001,22104,35251,1669
Lansing,MI,64,6.6,6.8,7.5,66,6.7,33,0,Lansing-MI,Michigan,86008,41.35,872,86286,41.48,115446,114297,69983,27138,882,4256,54,14292,4918,7066,55332,58965,8744,7754,7062,7346,10696,20335,14131,14881,12303,5867,3635,1543,32.4,48450,2.33,26234,3.06,54181,5731,26019,22431,1149
Eugene,OR,65,6.6,6.9,4.7,0,0.0,0,0,Eugene-OR,Oregon,101355,48.73,596,101355,48.73,166215,156185,134018,2126,1606,6283,364,12200,4497,7291,76324,79861,7630,7702,8098,13677,20646,22738,17892,18790,19296,9651,6295,3770,33.8,66419,2.24,33953,2.85,69951,3532,33271,33148,10030
Indianapolis,IN,66,6.6,5.8,8.1,73,6.7,36,6,Indianapolis-IN,Indiana,79391,38.17,712,79391,38.17,864712,820445,507005,225355,2611,17236,384,77352,44789,23065,396346,424099,62232,56269,53493,56753,63652,132958,107759,114934,86359,45639,28133,12264,33.8,332199,2.42,196976,3.08,379856,47657,185487,146712,44267
Manchester,NH,67,6.6,7.1,6.3,20,6.7,2,4,Manchester-NH,New Hampshire,86179,41.43,292,86179,41.43,113790,109565,94299,4476,346,4014,72,8883,3440,2918,54356,55209,7363,6278,6066,6745,8378,18405,14866,16213,12296,6282,4377,2296,36.1,45766,2.34,26066,2.99,49288,3522,21661,24105,4225
Oklahoma City,OK,68,6.6,6.1,7.4,87,6.5,43,4,Oklahoma City-OK,Oklahoma,77146,37.09,236,77146,37.09,665635,579999,363646,87354,20533,23310,586,100038,54593,29977,285556,294443,45873,41683,37832,37248,43329,91906,74288,78941,63492,35337,21366,8704,34.1,230233,2.47,144120,3.11,256930,26697,137432,92801,85636
